Country,Estimate,95% CI Low,95% CI High,p-value,Interpretation
Angola,-2.974,-7.545,1.598,0.19,"In Angola, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Botswana,-2.567,-4.285,-0.848,0.005,"In Botswana, there is evidence that when donors give more, the government tends to spend less of its own money the next year (possible displacement)."
Ghana,-0.693,-1.217,-0.17,0.012,"In Ghana, there is evidence that when donors give more, the government tends to spend less of its own money the next year (possible displacement)."
Sudan,-0.513,-2.54,1.513,0.6,"In Sudan, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Eswatini,-0.227,-0.539,0.085,0.145,"In Eswatini, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Nigeria,-0.191,-0.492,0.11,0.2,"In Nigeria, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Niger,-0.18,-0.673,0.313,0.454,"In Niger, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Lesotho,-0.172,-0.3,-0.045,0.01,"In Lesotho, there is evidence that when donors give more, the government tends to spend less of its own money the next year (possible displacement)."
Chad,-0.127,-0.543,0.289,0.531,"In Chad, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Senegal,-0.124,-0.466,0.218,0.458,"In Senegal, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Togo,-0.105,-0.283,0.074,0.236,"In Togo, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Comoros,-0.103,-0.358,0.152,0.409,"In Comoros, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Mauritania,-0.077,-0.981,0.828,0.861,"In Mauritania, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Madagascar,-0.053,-0.467,0.362,0.793,"In Madagascar, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
United Republic of Tanzania,-0.045,-0.266,0.176,0.675,"In United Republic of Tanzania, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Sierra Leone,-0.032,-0.067,0.003,0.068,"In Sierra Leone, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Benin,-0.032,-0.236,0.173,0.748,"In Benin, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Malawi,-0.023,-0.121,0.074,0.623,"In Malawi, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Cabo Verde,-0.019,-0.871,0.834,0.964,"In Cabo Verde, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Uganda,-0.016,-0.107,0.075,0.712,"In Uganda, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Gambia,-0.012,-0.089,0.064,0.738,"In Gambia, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Guinea-Bissau,-0.012,-0.11,0.086,0.798,"In Guinea-Bissau, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Burkina Faso,-0.001,-0.333,0.33,0.993,"In Burkina Faso, donor money was often followed by less government money, but the evidence is not strong enough to be sure."
Namibia,0.004,-0.397,0.405,0.984,"In Namibia, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Rwanda,0.006,-0.066,0.078,0.858,"In Rwanda, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Mali,0.013,-0.111,0.136,0.834,"In Mali, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Guinea,0.015,-0.241,0.27,0.905,"In Guinea, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Mozambique,0.017,-0.056,0.09,0.637,"In Mozambique, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Democratic Republic of the Congo,0.028,-0.044,0.1,0.428,"In Democratic Republic of the Congo, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Liberia,0.037,-0.074,0.147,0.497,"In Liberia, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Cameroon,0.041,-0.298,0.381,0.803,"In Cameroon, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Eritrea,0.047,-0.073,0.168,0.422,"In Eritrea, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Central African Republic,0.049,-0.015,0.112,0.126,"In Central African Republic, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Ethiopia,0.059,-0.147,0.265,0.56,"In Ethiopia, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Burundi,0.063,-0.095,0.221,0.414,"In Burundi, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Côte d'Ivoire,0.079,-0.345,0.502,0.703,"In Côte d'Ivoire, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Zambia,0.11,-0.078,0.298,0.238,"In Zambia, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Kenya,0.131,-0.071,0.333,0.192,"In Kenya, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Congo,0.14,-0.735,1.015,0.742,"In Congo, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
South Africa,0.175,-0.625,0.975,0.652,"In South Africa, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Sao Tome and Principe,0.178,-0.08,0.436,0.167,"In Sao Tome and Principe, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Gabon,0.652,-0.916,2.221,0.396,"In Gabon, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Equatorial Guinea,0.71,-0.687,2.108,0.302,"In Equatorial Guinea, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Mauritius,0.823,-1.453,3.1,0.459,"In Mauritius, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
Seychelles,1.782,-0.472,4.036,0.115,"In Seychelles, donor money was often followed by more government money, but the evidence is not strong enough to be sure."
