"Country","Year","Exports"
"Kenya",2014,341.805824339725
"Kenya",2015,427.332590087867
"Kenya",2016,422.986907156947
"Kenya",2017,551.063717656698
"Kenya",2018,580.285937760067
"Kenya",2019,442.665571250137
"Kenya",2020,465.490964974587
"Kenya",2021,523.268255088694
"Kenya",2022,596.375878638439
"Kenya",2023,728.047602349252
"Kenya",2024,549.960307916113
"Burundi",2014,44.2210418505269
"Burundi",2015,46.1172874749766
"Burundi",2016,44.8567454134755
"Burundi",2017,42.9374625429733
"Burundi",2018,40.6948235766424
"Burundi",2019,51.3867672267218
"Burundi",2020,58.5490701052734
"Burundi",2021,72.2914665468063
"Burundi",2022,86.981958816113
"Burundi",2023,71.2062659083965
"Burundi",2024,70.2120518294631
"Rwanda",2014,245.372450556425
"Rwanda",2015,237.609892065552
"Rwanda",2016,193.982850130214
"Rwanda",2017,180.801488363586
"Rwanda",2018,212.143446138547
"Rwanda",2019,41.9404759561976
"Rwanda",2020,1.8608723933423
"Rwanda",2021,1.4820277103603
"Rwanda",2022,77.6741484484389
"Rwanda",2023,286.144800130561
"Rwanda",2024,245.041889096498
"DRC",2014,182.294289570198
"DRC",2015,152.051308349131
"DRC",2016,177.663644698759
"DRC",2017,188.982284063173
"DRC",2018,204.374683925946
"DRC",2019,249.103256458545
"DRC",2020,267.261528140196
"DRC",2021,339.096819497124
"DRC",2022,430.873549457641
"DRC",2023,426.786904496337
"DRC",2024,446.9427577664
"South Sudan",2014,280.546907379549
"South Sudan",2015,265.262428708856
"South Sudan",2016,239.250620598776
"South Sudan",2017,299.301052931124
"South Sudan",2018,355.911829140598
"South Sudan",2019,351.508195788513
"South Sudan",2020,356.671742501307
"South Sudan",2021,482.456055302082
"South Sudan",2022,606.909658041827
"South Sudan",2023,546.314009242591
"South Sudan",2024,449.966255226486
"Tanzania",2014,56.1223340348217
"Tanzania",2015,62.250395466983
"Tanzania",2016,68.091362308538
"Tanzania",2017,49.2427067315252
"Tanzania",2018,66.2442139349615
"Tanzania",2019,68.7792693071899
"Tanzania",2020,95.1075314057325
"Tanzania",2021,109.600580421917
"Tanzania",2022,144.907378450611
"Tanzania",2023,186.701127743531
"Tanzania",2024,136.503779384527
